tema;subtema
consumidor;COMÉRCIO / SUPERMERCADOS E MERCEARIAS
consumidor;CORONAVÍRUS
consumidor;EDUCAÇÃO / FACULDADES
consumidor;FINANÇAS / BANCOS E FINANCEIRAS
consumidor;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
consumidor;OUTROS
consumidor;SAÚDE / HOSPITAIS E CLÍNICAS
consumidor;SAÚDE / PLANOS DE SAÚDE
consumidor;SERVIÇOS / FUNERÁRIOS
consumidor;SERVIÇOS / LUZ
consumidor;SERVIÇOS / ÁGUA
consumidor;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
consumidor;TELECOMUNICAÇÕES / TELEFONIA (FIXA E MÓVEL)
consumidor;TRANSPORTE / TREM
consumidor;TRANSPORTE / ÔNIBUS
consumidor;TRIBUTOS
criminal;DIFAMAÇÃO OU INJÚRIA
criminal;CORONAVÍRUS
criminal;CP. ART. 121 A 154A / OUTROS CRIMES CONTRA A PESSOA
criminal;CP. ART. 121 / HOMICÍDIO
criminal;CP. ART. 129 / LESÃO CORPORAL OU VIAS DE FATO / AGRESSÃO À PESSOA PRESA
criminal;CP. ART. 138 A 140 / CALÚNIA
criminal;CP. ART. 146 / AMEAÇA OU CONSTRANGIMENTO ILEGAL
criminal;CP. ART. 155 A 160 / FURTO OU ROUBO OU EXTORSÃO OU EXTORSÃO MEDIANTE SEQUESTRO
criminal;CP. ART. 150 A 180A / OUTROS CRIMES CONTRA O PATRIMÔNIO'
criminal;CP. ART. 168 / APROPRIAÇÃO INDÉBITA
criminal;CP. ART. 171 / ESTELIONATO
criminal;CP. ART. 208 A 212 / OUTROS CRIMES CONTRA O SENTIMENTO RELIGIOSO E RESPEITO AOS MORTOS
criminal;CP. ART. 229 / CASA DE PROSTITUIÇÃO
criminal;CP. ART. 267 A 285 / CRIMES CONTRA A SAÚDE PÚBLICA
criminal;CP. ART. 288 / ASSOCIAÇÃO CRIMINOSA
criminal;CP. ART. 288A / CONSTITUIÇÃO DE MILÍCIA PRIVADA
criminal;CP. ART. 289 A 311A / OUTROS CRIMES CONTRA A FÉ PÚBLICA
criminal;CP. ART. 299 /FALSIDADE IDEOLÓGICA
criminal;CP. ART. 312 A 359H / OUTROS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA
criminal;CRIMES AMBIENTAIS
criminal;CRIMES CONTRA A ECONOMIA POPULAR
criminal;CRIMES CONTRA A ORDEM TRIBUTÁRIA
criminal;CRIMES DA LEI DE ENTORPECENTES
criminal;CRIMES DE PRECONCEITO DE RAÇA OU COR (LEI 7.716/89)
criminal;CRIMES DO CÓDIGO PENAL MILITAR
criminal;CRIMES DO ESTATUTO DA CRIANÇA E DO ADOLESCENTE
criminal;CRIMES DO ESTATUTO DO DESARMAMENTO
criminal;CRIMES DO ESTATUTO DO IDOSO
criminal;DIFICULDADE DE ATENDIMENTO
criminal;ESTABELECIMENTO SEM ALVARÁ DO CORPO DE BOMBEIROS
criminal;LCP. ART. 42 / PERTURBAÇÃO DO TRABALHO OU SOSSEGO ALHEIOS
criminal;LCP. ART. 50 / JOGO DE AZAR
criminal;LCP. OUTRAS CONTRAVENÇÕES
criminal;MAU ATENDIMENTO EM ÓRGÃO DO MPRJ
criminal;MAU ATENDIMENTO NA DELEGACIA OU NO SERVIÇO 190
criminal;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
criminal;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
criminal;NOTÍCIAS RELACIONADAS A MILÍCIAS
criminal;OUTROS
criminal;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
criminal;VIOLÊNCIA DOMÉSTICA / CALÚNIA OU INJÚRIA OU DIFAMAÇÃO
criminal;VIOLÊNCIA DOMÉSTICA / LESÃO CORPORAL OU VIAS DE FATO
criminal;VIOLÊNCIA DOMÉSTICA /AMEAÇA OU CONSTRANGIMENTO ILEGAL
criminal;VIOLÊNCIA DOMÉSTICA /OUTROS
deficiencia;ACESSIBILIDADE
deficiencia;ENTIDADES DE ATENDIMENTO
deficiencia;GRATUIDADE NO TRANSPORTE COLETIVO
deficiencia;OUTROS
educacao;ACESSO AO ENSINO FUNDAMENTAL
educacao;ACESSO AO ENSINO MÉDIO
educacao;ACESSO À EDUCAÇÃO INFANTIL
educacao;ACÚMULO DE CARGOS
educacao;ALIMENTAÇÃO ESCOLAR
educacao;AMBIENTE ESCOLAR
educacao;CARÊNCIA/ABSENTEÍSMO DE PROFISSIONAIS DA EDUCAÇÃO
educacao;CONCURSO PÚBLICO/CONTRATAÇÃO TEMPORÁRIA DE PROFISSIONAIS DA EDUCAÇÃO
educacao;CORONAVÍRUS
educacao;CRECHES E ESCOLAS IRREGULARES
educacao;EDUCAÇÃO ESPECIAL
educacao;EXPEDIÇÃO DE DIPLOMAS
educacao;GESTÃO DEMOCRÁTICA DO ENSINO PÚBLICO
educacao;GREVE E OUTROS MOVIMENTOS DOS PROFISSIONAIS DA EDUCAÇÃO
educacao;INFRAESTRUTURA
educacao;MATERIAL DIDÁTICO E UNIFORME ESCOLAR
educacao;NÃO APLICAÇÃO DOS RECURSOS DA EDUCAÇÃO
educacao;OUTROS
educacao;REPOSIÇÃO DOS DIAS LETIVOS LEGALMENTE PREVISTOS
educacao;TRANSPORTE ESCOLAR
educacao;VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO
eleitoral;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
eleitoral;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
eleitoral;OUTROS
eleitoral;OUTROS ASSUNTOS
eleitoral;PROPAGANDA IRREGULAR
eleitoral;USO DA MÁQUINA PÚBLICA EM FAVOR DO CANDIDATO
excec_penal;ASSISTÊNCIA MATERIAL
excec_penal;ASSISTÊNCIA SOCIAL
excec_penal;ASSISTÊNCIA À SAÚDE
excec_penal;OUTROS
excec_penal;VIOLÊNCIA FÍSICA
excec_penal;VIOLÊNCIA PSICOLÓGICA
familia;ALIENAÇÃO PARENTAL
familia;ALIMENTOS
familia;GUARDA E VISITAÇÃO
familia;OUTROS
idoso;ABANDONO
idoso;ABUSO FINANCEIRO
idoso;ACESSIBILIDADE
idoso;AUTONEGLIGÊNCIA
idoso;CURATELA
idoso;ENTIDADES DE ATENDIMENTO
idoso;GRATUIDADE NO TRANSPORTE COLETIVO
idoso;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
idoso;NEGLIGÊNCIA
idoso;OUTROS
idoso;SOLICITAÇÃO DE ABRIGAMENTO
idoso;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
idoso;VIOLÊNCIA FÍSICA
idoso;VIOLÊNCIA INSTITUCIONAL
idoso;VIOLÊNCIA PSICOLÓGICA
idoso;VIOLÊNCIA SEXUAL
idoso;VULNERABILIDADE SOCIAL
infa_infra;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
infa_infra;NOTÍCIAS DE ATOS INFRACIONAIS / CONFLITOS ESCOLARES
infa_infra;NOTÍCIAS DE ATOS INFRACIONAIS / CONFLITOS FAMILIARES
infa_infra;NOTÍCIAS DE ATOS INFRACIONAIS / USO DE DROGAS
infa_infra;OUTROS
infa_n_infra;ABANDONO INTELECTUAL / MATERIAL
infa_n_infra;ABANDONO MATERIAL
infa_n_infra;EVASÃO ESCOLAR
infa_n_infra;EXPLORAÇÃO DO TRABALHO INFANTIL
infa_n_infra;FISCALIZAÇÃO DE CONSELHEIROS E CONSELHOS TUTELARES/PROCESSO DE ESCOLHA DE CONSELHEIROS
infa_n_infra;FISCALIZAÇÃO DE PROGRAMAS DE ACOLHIMENTO INSTITUCIONAL
infa_n_infra;MAUS TRATOS
infa_n_infra;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
infa_n_infra;NEGLIGÊNCIA
infa_n_infra;OUTROS
infa_n_infra;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
infa_n_infra;VIOLÊNCIA CONTRA CRIANÇA E ADOLESCENTE / VIOLÊNCIA FÍSICA
infa_n_infra;VIOLÊNCIA CONTRA CRIANÇA E ADOLESCENTE / VIOLÊNCIA INSTITUCIONAL
infa_n_infra;VIOLÊNCIA CONTRA CRIANÇA E ADOLESCENTE / VIOLÊNCIA PSICOLÓGICA
infa_n_infra;VIOLÊNCIA SEXUAL / ABUSO SEXUAL
infa_n_infra;VIOLÊNCIA SEXUAL / EXPLORAÇÃO SEXUAL
infa_n_infra;VULNERABILIDADE SOCIAL
mulher;DESCUMPRIMENTO DE MEDIDA PROTETIVA
mulher;MAU ATENDIMENTO NA DELEGACIA OU NO SERVIÇO 190
mulher;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
mulher;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
mulher;OUTROS
mulher;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
mulher;VERIFICAÇÃO DE NECESSIDADE DE MEDIDA PROTETIVA
outros;DIFICULDADE DE ATENDIMENTO
outros;INVENTÁRIO
outros;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
outros;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
outros;OUTROS
prisional;ASSISTÊNCIA AO PRESO E AO INTERNADO
prisional;ASSISTÊNCIA MATERIAL
prisional;CONDIÇÕES DOS ESTABELECIMENTOS PENAIS
prisional;OUTROS
saude;CIRURGIAS E CONSULTAS ESPECIALIZADAS
saude;E DE OUTRAS ARBOVIROSES
saude;FINANCIAMENTO / FALTA DE REPASSE
saude;FINANCIAMENTO / IRREGULARIDADES NA GESTÃO DAS VERBAS DA SAÚDE
saude;GESTÃO DA SAÚDE
saude;ATENDIMENTO MÉDICO (E DE OUTROS PROFISSIONAIS DE SAÚDE) / MAU ATENDIMENTO PELO PROFISSIONAL DE SAÚDE
saude;CONCURSO - CONTRATO TEMPORÁRIO / ESTADUAL / OUTROS
saude;CONCURSO - CONTRATO TEMPORÁRIO / MUNICIPAL / OUTROS
saude;CORONAVÍRUS
saude;DENGUE OU ZYCA / FOCOS DE DENGUE
saude;DIFICULDADE DE ATENDIMENTO
saude;HOSPITAIS / CARÊNCIA DE MATERIAL E EQUIPAMENTOS
saude;HOSPITAIS / CARÊNCIA DE MÉDICOS E PESSOAL
saude;HOSPITAIS / CARÊNCIA DE SERVIÇOS
saude;HOSPITAIS / MÁS CONDIÇÕES OU CONDIÇÕES PRECÁRIAS
saude;MAU ATENDIMENTO EM ÓRGÃO DO MPRJ
saude;MEDICAMENTOS / FALTA DE MEDICAMENTOS
saude;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
saude;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
saude; OUTROS
saude;POSTOS DE SAÚDE E CLÍNICA DA FAMÍLIA / CARÊNCIA DE MATERIAL E EQUIPAMENTOS
saude;POSTOS DE SAÚDE E CLÍNICA DA FAMÍLIA / CARÊNCIA DE MÉDICOS E PESSOAL
saude;POSTOS DE SAÚDE E CLÍNICA DA FAMÍLIA / CARÊNCIA DE SERVIÇOS E EXAMES
saude;POSTOS DE SAÚDE E CLÍNICA DA FAMÍLIA / MÁS CONDIÇÕES OU CONDIÇÕES PRECÁRIAS DE UNIDADES
saude;REGULAÇÃO / ESPERA PARA EXAMES
saude;SAMU - AMBULÂNCIAS - TRANSPORTE
saude;SAÚDE MENTAL / MÁS CONDIÇÕES OU CONDIÇÕES PRECÁRIAS DE UNIDADES
saude;SAÚDE PRISIONAL
saude;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
saude;VALORIZAÇÃO DOS PROFISSIONAIS DA SAÚDE
saude;VERBAS
saude;VIGILÂNCIA EM SAÚDE / VIGILÂNCIA EPIDEMIOLÓGICA - COMBATE AOS VETORES DE DENGUE
urbanistica;COMÉRCIO AMBULANTE
urbanistica;CONSTRUÇÃO IRREGULAR
urbanistica;ESTABELECIMENTO SEM ALVARÁ DO MUNICÍPIO
urbanistica;ESTACIONAMENTO IRREGULAR
urbanistica;FECHAMENTO DE RUA COM GRADES OU CONCRETO
urbanistica;IMPACTO VIÁRIO OU CIRCULAÇÃO VIÁRIA
urbanistica;LOTEAMENTO IRREGULAR
urbanistica;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
urbanistica;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO
urbanistica;OCUPAÇÃO DE CALÇADAS
urbanistica;OUTROS
urbanistica;POSTURAS MUNICIPAIS
urbanistica;SEGURANÇA EM EDIFICAÇÕES
urbanistica;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
